PLAYER_NAME,position,team,rating
John Collins,"['F', 'C']",ATL,84
Nathan Knight,"['F', 'C']",ATL,70
Kris Dunn,['G'],ATL,76
Solomon Hill,['F'],ATL,70
De'Andre Hunter,"['F', 'G']",ATL,81
Clint Capela,['C'],ATL,86
Brandon Goodwin,['G'],ATL,70
Danilo Gallinari,['F'],ATL,79
Tony Snell,['G'],ATL,73
Skylar Mays,['G'],ATL,71
Lou Williams,['G'],ATL,80
Bogdan Bogdanovic,['G'],ATL,76
Kevin Huerter,"['G', 'F']",ATL,76
Onyeka Okongwu,"['F', 'C']",ATL,75
Bruno Fernando,"['F', 'C']",ATL,72
Cam Reddish,"['F', 'G']",ATL,74
Trae Young,['G'],ATL,87
Jaylen Brown,"['G', 'F']",BOS,89
Semi Ojeleye,['F'],BOS,73
Jayson Tatum,"['F', 'G']",BOS,90
Tristan Thompson,"['C', 'F']",BOS,78
Luke Kornet,"['F', 'C']",BOS,73
Evan Fournier,"['G', 'F']",BOS,82
Kemba Walker,['G'],BOS,85
Marcus Smart,['G'],BOS,80
Carsen Edwards,['G'],BOS,70
Tacko Fall,['C'],BOS,70
Romeo Langford,"['G', 'F']",BOS,70
Aaron Nesmith,"['G', 'F']",BOS,71
Payton Pritchard,['G'],BOS,75
Tremont Waters,['G'],BOS,69
Grant Williams,['F'],BOS,71
Robert Williams III,"['C', 'F']",BOS,77
Moritz Wagner,"['F', 'C']",BOS,77
Gordon Hayward,['F'],CHA,85
Terry Rozier,['G'],CHA,82
Brad Wanamaker,['G'],CHA,72
Malik Monk,['G'],CHA,79
Cody Zeller,"['F', 'C']",CHA,79
Bismack Biyombo,['C'],CHA,75
Miles Bridges,['F'],CHA,75
Vernon Carey Jr.,"['F', 'C']",CHA,70
Nate Darling,['G'],CHA,67
Devonte' Graham,['G'],CHA,78
Caleb Martin,['F'],CHA,74
Cody Martin,['F'],CHA,74
Jalen McDaniels,"['F', 'C']",CHA,70
Nick Richards,['C'],CHA,69
Grant Riller,['G'],CHA,69
P.J. Washington,['F'],CHA,80
Ryan Arcidiacono,['G'],CHI,72
Cristiano Felicio,"['F', 'C']",CHI,72
Zach LaVine,"['G', 'F']",CHI,88
Lauri Markkanen,"['F', 'C']",CHI,83
Tomas Satoransky,"['G', 'F']",CHI,75
Denzel Valentine,['G'],CHI,74
Al-Farouq Aminu,['F'],CHI,75
Thaddeus Young,['F'],CHI,80
Nikola Vucevic,['C'],CHI,87
Garrett Temple,"['G', 'F']",CHI,73
Javonte Green,"['G', 'F']",CHI,73
Devon Dotson,['G'],CHI,68
Adam Mokoka,['G'],CHI,68
Coby White,['G'],CHI,79
Patrick Williams,['F'],CHI,76
Troy Brown Jr.,"['G', 'F']",CHI,73
Daniel Theis,"['F', 'C']",CHI,78
Will Barton,['G'],DEN,75
Nikola Jokic,['C'],DEN,95
Paul Millsap,['F'],DEN,79
Monte Morris,['G'],DEN,79
Jamal Murray,['G'],DEN,86
JaVale McGee,"['C', 'F']",DEN,78
Aaron Gordon,['F'],DEN,80
JaMychal Green,"['F', 'C']",DEN,77
Vlatko Cancar,['F'],DEN,70
Greg Whittington,['F'],DEN,67
Bol Bol,"['C', 'F']",DEN,71
Facundo Campazzo,['G'],DEN,74
Markus Howard,['G'],DEN,67
Zeke Nnaji,"['F', 'C']",DEN,72
Michael Porter Jr.,['F'],DEN,82
PJ Dozier,"['G', 'F']",DEN,75
Stephen Curry,['G'],GSW,96
Draymond Green,['F'],GSW,80
Damion Lee,"['G', 'F']",GSW,75
Kevon Looney,['F'],GSW,76
Kelly Oubre Jr.,"['F', 'G']",GSW,79
Andrew Wiggins,"['F', 'G']",GSW,79
Kent Bazemore,"['G', 'F']",GSW,76
Nico Mannion,['G'],GSW,69
Mychal Mulder,['G'],GSW,72
Eric Paschall,['F'],GSW,79
Jordan Poole,['G'],GSW,72
Alen Smailagic,['F'],GSW,71
Juan Toscano-Anderson,['F'],GSW,75
James Wiseman,['C'],GSW,79
Danuel House Jr.,"['F', 'G']",HOU,73
DaQuan Jeffries,"['G', 'F']",HOU,71
Avery Bradley,['G'],HOU,76
Eric Gordon,['G'],HOU,80
Kelly Olynyk,"['F', 'C']",HOU,74
Sterling Brown,"['G', 'F']",HOU,74
D.J. Augustin,['G'],HOU,73
Christian Wood,['F'],HOU,85
D.J. Wilson,['F'],HOU,70
Dante Exum,['G'],HOU,73
John Wall,['G'],HOU,82
David Nwaba,"['G', 'F']",HOU,77
Anthony Lamb,['F'],HOU,66
Kenyon Martin Jr.,['F'],HOU,67
Kevin Porter Jr.,"['G', 'F']",HOU,75
Jae'Sean Tate,['F'],HOU,77
Myles Turner,"['C', 'F']",IND,81
Caris LeVert,['G'],IND,83
Doug McDermott,['F'],IND,77
Domantas Sabonis,"['F', 'C']",IND,87
Justin Holiday,"['F', 'G']",IND,75
T.J. McConnell,['G'],IND,78
Edmond Sumner,['G'],IND,73
Oshae Brissett,"['F', 'G']",IND,67
Jeremy Lamb,"['G', 'F']",IND,79
JaKarr Sampson,['F'],IND,73
Malcolm Brogdon,['G'],IND,84
Goga Bitadze,"['C', 'F']",IND,73
Brian Bowen II,"['F', 'G']",IND,68
